t,0,1,2,3
1.368,(0.45629976675463785+0j),(0.2191998755506987+0j),(0.21919987555069875+0j),(0.10530048214396498+0j)
1.386,(0.48475894714710543+0j),(0.2114873793402271+0j),(0.21148737934022713+0j),(0.0922662941724406+0j)
1.4040000000000001,(0.5139141274013658+0j),(0.20296391480760415+0j),(0.20296391480760426+0j),(0.08015804298342633+0j)
1.4220000000000002,(0.5436328184090089+0j),(0.19368178093716484+0j),(0.193681780937165+0j),(0.06900361971666157+0j)
1.44,(0.5737707485021754+0j),(0.18370581780345976+0j),(0.18370581780346+0j),(0.058817615890905374+0j)
1.4580000000000002,(0.6041728709401789+0j),(0.17311270781461752+0j),(0.17311270781461766+0j),(0.049601713430586315+0j)
1.476,(0.6346745553241624+0j),(0.16199008887950905+0j),(0.16199008887950922+0j),(0.041345266916819834+0j)
1.494,(0.6651029491641021+0j),(0.15043549209057122+0j),(0.1504354920905714+0j),(0.034026066654755965+0j)
1.5120000000000002,(0.6952784930968824+0j),(0.13855511926045272+0j),(0.13855511926045286+0j),(0.0276112683822127+0j)
1.53,(0.7250165707668546+0j),(0.12646247816321432+0j),(0.12646247816321443+0j),(0.022058472906717082+0j)
1.548,(0.7541292721702078+0j),(0.11427689557056087+0j),(0.11427689557056098+0j),(0.01731693668867095+0j)
1.5659999999999998,(0.7824272473664426+0j),(0.1021219301055863+0j),(0.1021219301055864+0j),(0.013328892422385292+0j)
1.584,(0.8097216259042977+0j),(0.09012370853062485+0j),(0.09012370853062494+0j),(0.01003095703445259+0j)
1.602,(0.8358259761202893+0j),(0.07840921031714453+0j),(0.0784092103171446+0j),(0.007355603245421836+0j)
1.62,(0.8605582776648337+0j),(0.06710452619486297+0j),(0.06710452619486307+0j),(0.005232669945440842+0j)
1.6380000000000001,(0.8837428802068235+0j),(0.056333116831088194+0j),(0.056333116831088256+0j),(0.0035908861310004468+0j)
1.656,(0.9052124212696232+0j),(0.04621409784240139+0j),(0.046214097842401464+0j),(0.0023593830455745984+0j)
1.6740000000000002,(0.9248096765605105+0j),(0.03686057698823629+0j),(0.036860576988236346+0j),(0.0014691694630174148+0j)
1.6920000000000002,(0.942389316966154+0j),(0.028378068644917293+0j),(0.028378068644917348+0j),(0.0008545457440118378+0j)
1.71,(0.9578195475871031+0j),(0.020863009520718+0j),(0.020863009520718033+0j),(0.00045443337146133735+0j)
1.7280000000000002,(0.9709836057568128+0j),(0.014401398064948986+0j),(0.014401398064949021+0j),(0.00021359811328994251+0j)
1.746,(0.9817810969120058+0j),(0.009067578170121151+0j),(0.00906757817012118+0j),(8.374674775249815e-05+0j)
1.764,(0.9901291494224198+0j),(0.004923185594397458+0j),(0.004923185594397481+0j),(2.447938878581851e-05+0j)
1.7820000000000003,(0.9959633720154013+0j),(0.0020162730753198635+0j),(0.002016273075319873+0j),(4.081833959448886e-06+0j)
1.8,(0.9992386002063354+0j),(0.00038062740302594435+0j),(0.000380627403025949+0j),(1.44987613473249e-07+0j)
